procedure_code,procedure_descrption,category,proc_sk
11721,Debridement nail,Procedure,1
15734,Scar revision,Procedure,2
96372,Therapeutic injection,Procedure,3
92511,Speech audiometry,Diagnostic,4
87070,"Culture, bacteria, other",Lab,5
90791,Psychiatric diagnostic eval,Evaluation & Management,6
96372,Therapeutic injection,Procedure,7
20610,"Arthrocentesis, small joint",Procedure,8
93306,Echocardiogram,Imaging,9
11721,Debridement nail,Procedure,10
27447,Knee replacement,Surgery,11
70450,CT Head without contrast,Imaging,12
99213,Office visit,Evaluation & Management,13
15734,Scar revision,Procedure,14
96372,Therapeutic injection,Procedure,15
15734,Scar revision,Procedure,16
96413,Chemotherapy administration,Procedure,17
80048,Basic metabolic panel,Lab,18
99213,Office/outpatient visit EST,Evaluation & Management,19
92014,Ophthalmology exam,Evaluation & Management,20
90791,Psychiatric diagnostic eval,Evaluation & Management,21
95816,EEG,Diagnostic,22
67028,Retinal surgery,Surgery,23
93000,Electrocardiogram,Diagnostic,24
93306,Echocardiogram,Imaging,25
90792,Rheumatology consult,Evaluation & Management,26
90791,Psychiatric diagnostic eval,Evaluation & Management,27
90792,Unknown Procedure,Evaluation & Management,28
11721,Debridement nail,Procedure,29
71020,Chest X-ray,Imaging,30
90791,Psychiatric diagnostic eval,Evaluation & Management,31
15734,Scar revision,Procedure,32
67028,Retinal surgery,Surgery,33
87070,"Culture, bacterial",Lab,34
71020,Chest X-ray,Imaging,35
95115,Allergy testing,Procedure,36
96413,Chemotherapy administration,Procedure,37
71020,Chest X-ray,Imaging,38
71020,Chest X-ray,Imaging,39
15734,Scar revision,Procedure,40
87070,"Culture, bacterial",Lab,41
99214,Office/outpatient visit EST - extended,Evaluation & Management,42
11721,Debridement nail,Procedure,43
20610,"Arthrocentesis, small joint",Procedure,44
00520,Anesthesia for procedures,Procedure,45
00520,Anesthesia for procedures,Procedure,46
95816,EEG,Diagnostic,47
27447,Knee replacement,Surgery,48
49900,Appendectomy,Surgery,49
12001,Simple repair of wound,Procedure,50
58150,Cesarean delivery,Surgery,51
92511,Nasopharyngoscopy,Diagnostic,52
00520,Anesthesia for procedures,Procedure,53
92014,Ophthalmology exam,Evaluation & Management,54
99213,Office/outpatient visit EST,Evaluation & Management,55
99213,Office/outpatient visit EST,Evaluation & Management,56
70450,CT Head without contrast,Imaging,57
99213,Pediatric office visit,Evaluation & Management,58
20610,"Arthrocentesis, small joint",Procedure,59
80050,General health panel,Lab,60
92014,Ophthalmology exam,Evaluation & Management,61
12001,Simple repair of wound,Procedure,62
58150,Cesarean delivery,Surgery,63
15734,Scar revision,Procedure,64
49900,Appendectomy,Surgery,65
99285,Emergency department visit - high severity,Emergency,66
15734,Scar revision,Procedure,67
95816,EEG,Diagnostic,68
96413,Unknown Procedure,Procedure,69
88305,Pathology tissue exam,Lab,70
52000,Cystoscopy,Procedure,71
99285,Emergency department visit - high severity,Emergency,72
54520,Orchiectomy,Surgery,73
95117,Allergy injection,Procedure,74
95117,Immunotherapy injections,Procedure,75
70450,CT Head without contrast,Imaging,76
31500,Intubation,Procedure,77
88305,Pathology tissue exam,Lab,78
93306,Echocardiogram,Imaging,79
11721,Debridement nail,Procedure,80
00520,Anesthesia for procedures,Procedure,81
A0425,Ambulance service,Procedure,82
99214,Office/outpatient visit EST - extended,Evaluation & Management,83
92511,Speech audiometry,Diagnostic,84
00520,Unknown Procedure,Procedure,85
99213,"Office/outpatient visit, est",Evaluation & Management,86
94010,Pulmonary function test,Diagnostic,87
93458,Cardiac cath,Procedure,88
87070,"Culture, bacterial",Lab,89
94010,Pulmonary function test,Diagnostic,90
20610,"Arthrocentesis, small joint",Procedure,91
31500,Intubation,Procedure,92
80047,Renal panel,Lab,93
15734,Scar revision,Procedure,94
94010,Pulmonary function test,Diagnostic,95
88305,Pathology tissue exam,Lab,96
70450,CT Head without contrast,Imaging,97
88305,Tissue exam by pathologist,Lab,98
70450,Ct head/brain w/o dye,Imaging,99
11721,Debridement nail,Procedure,100
80047,Renal panel,Lab,101
90471,Immunization administration,Preventive,102
35301,Bypass graft,Surgery,103
96372,Therapeutic injection,Procedure,104
27447,Knee replacement,Surgery,105
52000,Cystoscopy,Procedure,106
96372,Therapeutic injection,Procedure,107
35301,Bypass graft,Surgery,108
90791,Unknown Procedure,Evaluation & Management,109
35301,Bypass graft,Surgery,110
71020,Chest X-ray,Imaging,111
11102,Skin lesion excision,Procedure,112
99213,Pediatric office visit,Evaluation & Management,113
99213,Office/outpatient visit EST,Evaluation & Management,114
70450,CT Head without contrast,Imaging,115
92511,Speech audiometry,Diagnostic,116
A0425,Ambulance service,Procedure,117
54520,Orchiectomy,Surgery,118
95115,Allergy testing,Procedure,119
58150,Cesarean delivery,Surgery,120
35301,Bypass graft,Surgery,121
11721,Debridement nail,Procedure,122
99213,"Office/outpatient visit, est",Evaluation & Management,123
35301,Bypass graft,Surgery,124
70450,Ct head/brain w/o dye,Imaging,125
15734,Scar revision,Procedure,126
88305,Pathology tissue exam,Lab,127
93458,Cardiac cath,Procedure,128
76830,"Transvaginal us, non-ob",Imaging,129
95810,Nerve conduction study,Diagnostic,130
80050,General health panel,Lab,131
99214,Office visit extended,Evaluation & Management,132
35301,Bypass graft,Surgery,133
95115,Allergy testing,Procedure,134
95115,Allergy testing,Procedure,135
90791,Unknown Procedure,Evaluation & Management,136
99213,Office visit,Evaluation & Management,137
58150,Cesarean delivery,Surgery,138
71020,Chest X-ray,Imaging,139
71020,Chest x-ray,Imaging,140
20610,"Arthrocentesis, small joint",Procedure,141
15734,Scar revision,Procedure,142
96413,Chemotherapy administration,Procedure,143
90791,Psychiatric diagnostic eval,Evaluation & Management,144
94010,Pulmonary function test,Diagnostic,145
90471,Immunization administration,Preventive,146
99213,Office visit,Evaluation & Management,147
71020,Chest X-ray,Imaging,148
17000,Destruction benign lesion,Procedure,149
35301,Rechanneling of artery,Surgery,150
