Diagnosis,ICD-10 Code,ICD Description,Similarity Score,Justification,Alternative Suggestions,Needs Review
Xerosis cutis,A01.00,,0.15646199882030487,The diagnosis 'Xerosis cutis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Abdominal aneurysm without mention of rupture,A01.00,,0.024693947285413742,The diagnosis 'Abdominal aneurysm without mention of rupture' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Abdominal aortic aneurysm, without rupture",A01.00,,0.041972484439611435,"The diagnosis 'Abdominal aortic aneurysm, without rupture' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Abdominal pain, other specified site",Z98.41,,0.007173157762736082,"The diagnosis 'Abdominal pain, other specified site' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Abdominal pain, unspecified site",A01.00,,0.06349620968103409,"The diagnosis 'Abdominal pain, unspecified site' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Abnormal coagulation profile,A01.00,,0.02266397327184677,The diagnosis 'Abnormal coagulation profile' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Abnormal involuntary movements,A01.00,,0.0983956903219223,The diagnosis 'Abnormal involuntary movements' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Abnormal levels of other serum enzymes,Z98.41,,-0.03504334017634392,The diagnosis 'Abnormal levels of other serum enzymes' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Abnormal weight loss,A01.00,,0.056604549288749695,The diagnosis 'Abnormal weight loss' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Abscess of liver,A01.00,,0.09044893085956573,The diagnosis 'Abscess of liver' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Accidental cut, puncture, perforation or hemorrhage during heart catheterization",A01.00,,0.03824730962514877,"The diagnosis 'Accidental cut, puncture, perforation or hemorrhage during heart catheterization' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Accidental cut, puncture, perforation or hemorrhage during other specified medical care",A01.00,,0.03439134359359741,"The diagnosis 'Accidental cut, puncture, perforation or hemorrhage during other specified medical care' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Accidental cut, puncture, perforation or hemorrhage during surgical operation",A01.00,,0.04466371238231659,"The diagnosis 'Accidental cut, puncture, perforation or hemorrhage during surgical operation' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Accidental fall from bed,A01.00,,0.06011899933218956,The diagnosis 'Accidental fall from bed' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Accidental fall on or from other stairs or steps,A01.00,,0.03402116894721985,The diagnosis 'Accidental fall on or from other stairs or steps' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Accidental poisoning by hormones and synthetic substitutes,Z98.41,,0.03296292945742607,The diagnosis 'Accidental poisoning by hormones and synthetic substitutes' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Accidental poisoning from other specified plants,A01.00,,0.0016062865033745766,The diagnosis 'Accidental poisoning from other specified plants' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure,A00.9,,0.06205973029136658,The diagnosis 'Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Accidental puncture and laceration of a circulatory system organ or structure during other procedure,A01.00,,0.07221890240907669,The diagnosis 'Accidental puncture and laceration of a circulatory system organ or structure during other procedure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Accidental puncture or laceration during a procedure, not elsewhere classified",Z98.41,,0.030264046043157578,"The diagnosis 'Accidental puncture or laceration during a procedure, not elsewhere classified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Accidents occurring in other specified places,A01.00,,0.03525005653500557,The diagnosis 'Accidents occurring in other specified places' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Accidents occurring in residential institution,A01.00,,0.06628799438476562,The diagnosis 'Accidents occurring in residential institution' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
